event.startDate,event.endDate,location.decimalLatitude,location.decimalLongitude,taxon.id
2023-05-20T13:09:00+02:00,2023-05-20T13:09:00+02:00,57.68575,18.34682,102964
2023-05-29T13:24:00+02:00,2023-05-29T13:24:00+02:00,55.56654,12.89202,102935
2023-05-20T13:28:00+02:00,2023-05-20T13:28:00+02:00,57.68575,18.34682,102952
2023-05-29T10:22:23+02:00,2023-05-29T10:22:23+02:00,59.36724,18.04805,100019
2023-05-31T15:45:51+02:00,2023-05-31T15:45:51+02:00,55.38393,14.06368,205976
2023-05-29T06:51:00+02:00,2023-05-29T06:51:00+02:00,58.33811,11.93362,102961
2023-05-20T15:26:00+02:00,2023-05-20T15:26:00+02:00,57.76317,18.41574,102626
2023-05-30T09:18:25+02:00,2023-05-30T09:18:25+02:00,59.38606,18.08256,102949
2023-05-30T18:26:00+02:00,2023-05-30T18:26:00+02:00,57.96605,16.279420000000002,102978
2023-05-20T11:01:00+02:00,2023-05-20T11:01:00+02:00,57.66767,18.32924,102950
2023-05-30T12:11:11+02:00,2023-05-30T12:11:11+02:00,55.5836,12.92026,102927
2023-05-30T08:38:00+02:00,2023-05-30T08:38:00+02:00,62.0324,16.2025,102955
2023-06-03T13:08:00+02:00,2023-06-03T13:08:00+02:00,58.20736,15.64776,103037
2023-06-03T14:36:42+02:00,2023-06-03T14:36:42+02:00,59.36354,17.82149,102933
2023-06-03T09:39:00+02:00,2023-06-03T09:39:00+02:00,58.20746,15.64742,102933
2023-05-21T18:16:00+02:00,2023-05-21T18:16:00+02:00,59.32782,18.13873,102932
2023-06-02T14:44:38+02:00,2023-06-02T14:44:38+02:00,60.12074,15.00174,102999
2023-06-05T09:42:00+02:00,2023-06-05T09:42:00+02:00,58.42612,15.62927,102980
2023-05-21T18:49:00+02:00,2023-05-21T18:49:00+02:00,59.32523,18.14461,102952
2023-05-04T09:40:00+02:00,2023-05-04T09:40:00+02:00,56.88254,12.82705,103013
2023-05-18T16:23:00+02:00,2023-05-18T16:23:00+02:00,59.30367,18.0735,103039
2023-05-21T18:54:00+02:00,2023-05-21T18:54:00+02:00,59.32509,18.14458,102928
2023-06-05T09:20:00+02:00,2023-06-05T09:20:00+02:00,58.42614,15.6293,103037
2023-05-23T14:32:00+02:00,2023-05-23T14:32:00+02:00,57.39573,18.17116,102964
2023-06-04T00:00:00+02:00,2023-06-04T00:00:00+02:00,63.67248,20.11627,102933
2023-06-26T07:20:00+02:00,2023-06-26T07:20:00+02:00,58.42432,14.16164,103038
2023-06-24T16:55:00+02:00,2023-06-24T16:55:00+02:00,59.44397,18.13459,205976
2023-06-15T16:43:00+02:00,2023-06-15T16:43:00+02:00,55.6839,13.06399,102939
2023-06-17T16:50:46+02:00,2023-06-17T16:50:46+02:00,63.75703,20.27513,205761
2023-06-25T14:42:57+02:00,2023-06-25T14:42:57+02:00,58.72657,17.02899,103027
2023-06-14T12:18:00+02:00,2023-06-14T12:18:00+02:00,63.22588,12.33663,103054
2023-06-22T10:49:26+02:00,2023-06-22T10:49:26+02:00,59.3208,18.15189,100019
2023-06-20T10:29:00+02:00,2023-06-20T10:29:00+02:00,59.36795,18.0472,100019
2023-06-24T09:07:00+02:00,2023-06-24T09:07:00+02:00,58.41812,15.572140000000001,102998
2023-06-23T09:31:20+02:00,2023-06-23T09:31:20+02:00,59.503659999999996,18.85393,102933
2023-06-19T12:47:53+02:00,2023-06-19T12:47:53+02:00,59.32084,18.21176,102987
2023-06-18T17:52:22+02:00,2023-06-18T17:52:22+02:00,59.15398,18.24978,100065
2023-06-18T10:02:17+02:00,2023-06-18T10:02:17+02:00,56.66147,16.36048,103033
2023-06-17T09:04:00+02:00,2023-06-17T09:04:00+02:00,58.46538,15.55393,103004
2023-06-03T17:02:55+02:00,2023-06-03T17:02:55+02:00,59.32845,18.17693,102927
2023-06-29T13:33:46+02:00,2023-06-29T13:33:46+02:00,57.7009,11.96824,103037
2023-06-27T18:50:00+02:00,2023-06-27T18:50:00+02:00,57.12436,12.23873,205503
2023-06-22T08:25:00+02:00,2023-06-22T08:25:00+02:00,59.4274,18.76278,100102
2023-06-22T20:31:00+02:00,2023-06-22T20:31:00+02:00,59.36404,18.81059,102966
2023-06-22T18:06:00+02:00,2023-06-22T18:06:00+02:00,59.47243,18.7676,102939
